time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-06-09,1286.04,1286.06,1227.4,1228.9,103966781,VNREAL,1227.058,1097.0642,1026.024756097561,56.80766317902104,57.895953145183285,63.99655518712097,-6.100602041937684,1371.9857493461022,1082.1302506538977,-4.443096637740651,1.838110623915682
2025-06-10,1228.9,1250.94,1188.31,1240.76,104586035,VNREAL,1232.689,1101.6202,1028.6119277108432,59.00742512398201,52.02807691175394,61.60285953204757,-9.574782620293625,1369.98473181544,1095.3932681845602,0.9650907315485346,1.8414530007810417
2025-06-11,1240.76,1254.97,1198.64,1233.21,75237385,VNREAL,1238.266,1106.0572,1031.047619047619,57.016670281657,46.23554622275083,58.52939687018822,-12.293850647437395,1365.2480168619013,1111.2839831380988,-0.6084980173442056,1.8425358262934737
2025-06-12,1233.21,1244.32,1195.51,1212.67,95365096,VNREAL,1243.5234999999998,1110.0430000000001,1033.1843529411765,51.88787705732334,39.531819372702785,54.72988137069114,-15.198061997988354,1355.537472300453,1131.5095276995467,-1.665571962601664,1.864846291690131
2025-06-13,1212.67,1220.08,1157.6,1190.74,159452870,VNREAL,1247.5965,1113.6276,1035.0163953488372,47.02427206090167,32.079704953175906,50.19984608718809,-18.120141134012187,1343.8766410960436,1151.3163589039566,-1.808406244073002,1.932824492502705
2025-06-16,1190.74,1195.26,1146.87,1192.05,91491470,VNREAL,1250.2045,1116.8498,1036.8213793103448,47.341795498532534,25.980074511060366,45.35589177196255,-19.37581726090218,1336.5094083131878,1163.8995916868123,0.11001562053849501,1.8496349321505194
2025-06-17,1192.05,1237.32,1188.47,1215.54,103824666,VNREAL,1251.508,1120.5392,1038.8522727272727,52.80436632231379,22.778938700160097,40.840501157602056,-18.06156245744196,1334.681271921367,1168.3347280786331,1.9705549263873134,1.6355652996956898
2025-06-18,1215.54,1225.94,1207.98,1223.05,81978823,VNREAL,1251.9445,1125.7632,1040.9219101123597,54.431912932977156,20.61042558677468,36.79448604343658,-16.184060456661896,1334.3844204460938,1169.5045795539063,0.6178324037053429,1.5743358586587113
2025-06-19,1223.05,1238.13,1215.94,1231.67,89080533,VNREAL,1253.189,1131.3324,1043.0413333333333,56.294924290566016,19.364206759059016,33.30843018656107,-13.944223427502052,1333.481707907744,1172.896292092256,0.7047953885777503,1.5726102189074236
2025-06-20,1231.67,1233.66,1183.38,1214.02,95426859,VNREAL,1253.275,1137.7069999999999,1044.92021978022,51.63950400554992,16.759172557754482,29.998578660799755,-13.239406103045273,1333.386786766666,1173.163213233334,-1.4330137130887377,1.6073115997785046
2025-06-23,1214.02,1255.99,1196.53,1255.99,76812482,VNREAL,1253.658,1145.0452,1047.214456521739,60.09109401044318,17.87523781248433,27.573910491136672,-9.698672678652343,1333.7434829081524,1173.5725170918474,3.4571094380652756,1.6570981232935926
2025-06-24,1255.99,1295.5,1255.99,1285.65,105834892,VNREAL,1254.8455,1151.7878,1049.7782795698924,64.77602215790755,20.91198138456639,26.241524669822617,-5.329543285256229,1336.1407463101746,1173.5502536898252,2.361483769775252,1.72254055543534
2025-06-25,1285.65,1296.4,1268.05,1288.14,90695230,VNREAL,1255.237,1157.8103999999998,1052.3140425531915,65.14593501983506,23.25151573437938,25.643522882733972,-2.3920071483545904,1337.121866052412,1173.352133947588,0.1936763504841954,1.6932794831875027
2025-06-26,1288.14,1296.5,1272.35,1275.74,66161863,VNREAL,1254.2755,1162.7158,1054.6658947368421,61.672496749685756,23.830335914610032,25.28088548910919,-1.4505495744991563,1334.6333125701105,1173.9176874298894,-0.9626282857453483,1.6867346823358087
2025-06-27,1275.74,1287.65,1259.64,1284.02,84442124,VNREAL,1253.5665,1167.9578,1057.055,63.08775613829584,24.67276954966701,25.159262301220753,-0.48649275155374383,1332.5306699626806,1174.6023300373192,0.649035069841819,1.6929631876480071
2025-06-30,1284.02,1290.34,1281.22,1289.76,82788950,VNREAL,1252.992,1173.7806,1059.4540206185566,64.07802242050597,25.50951647685224,25.229313136347052,0.2802033405051887,1330.6518764112518,1175.3321235887481,0.44703353530319845,1.6954465217238892
2025-07-01,1289.76,1295.46,1266.93,1284.47,85695934,VNREAL,1251.9914999999999,1179.1702,1061.7501020408163,62.41611531785814,25.4523863887282,25.273927786823286,0.17845860190491436,1327.3396019982401,1176.6433980017596,-0.4101538270686045,1.696139089320836
2025-07-02,1284.47,1288.47,1268.18,1287.85,73753065,VNREAL,1251.095,1185.1892,1064.0339393939394,63.07508116238642,25.387200292463376,25.296582287951306,0.09061800451206992,1324.1399080324843,1178.0500919675158,0.26314355337220263,1.6973604627139058
2025-07-03,1287.85,1289.93,1275.17,1282.41,124394359,VNREAL,1250.134,1191.5212,1066.2177000000001,61.21477519290313,24.612855626814508,25.159836955723947,-0.546981328909439,1320.8480660168257,1179.4199339831744,-0.4224094420933966,1.6983724890901588
2025-07-04,1282.41,1285.6,1269.78,1275.03,118579496,VNREAL,1249.5835,1197.9686,1068.2851485148515,58.68603910864654,23.136969001285706,24.7552633648363,-1.6182943635505929,1319.2847947927787,1179.8822052072212,-0.5754789809811256,1.6820660066096322
2025-07-07,1275.03,1293.47,1270.67,1290.61,118645184,VNREAL,1252.669,1204.3670000000002,1070.4648039215688,62.23299335596728,22.95982741146895,24.396176174162832,-1.436348762693882,1323.9604628091897,1181.3775371908105,1.221932032971762,1.342403643945774
2025-07-08,1290.61,1312.88,1290.61,1305.82,131788711,VNREAL,1255.922,1210.298,1072.7498058252427,65.35969804904352,23.772724144103222,24.271485768150914,-0.49876162404769175,1330.773867072311,1181.070132927689,1.1785124863436636,1.3491867789414824
2025-07-09,1305.82,1332.22,1305.82,1332.22,162551161,VNREAL,1260.8725,1216.292,1075.2447115384616,70.00193161875879,26.244677719310857,24.666124158382903,1.5785535609279542,1342.214805138615,1179.5301948613849,2.021718154110075,1.3872702282166127
2025-07-10,1332.22,1387.99,1332.22,1384.6,140495506,VNREAL,1269.469,1223.5964,1078.1909523809525,76.67963247564103,32.060770375450375,26.1450534017964,5.915716973653975,1364.5431841987247,1174.3948158012754,3.931783038837411,1.5087721996065544
2025-07-11,1384.6,1425.04,1384.6,1416.37,162931367,VNREAL,1280.7504999999999,1231.4597999999999,1081.3813207547169,79.64001318566568,38.786532195782456,28.673349160593613,10.113183035188843,1389.1085137128298,1172.39248628717,2.2945254947277283,1.4301002349402487
2025-07-14,1416.37,1461.4,1415.66,1454.57,224944189,VNREAL,1293.8764999999999,1239.466,1084.869065420561,82.51427684918205,46.66128539181727,32.270936406838345,14.390348984978928,1419.257211397434,1168.4957886025657,2.697035379173518,1.4730494482985304
2025-07-15,1454.57,1467.9,1439.33,1441.81,174227959,VNREAL,1305.19,1247.1784,1088.174074074074,78.52644319795374,51.28131954378955,36.07301303422859,15.208306509560963,1441.1925857339343,1169.1874142660658,-0.8772351966560565,1.5124563787339482
2025-07-16,1441.81,1484.23,1431.57,1476.71,165710340,VNREAL,1317.873,1255.0004000000001,1091.738623853211,81.20234971646805,57.10064750281299,40.278539927945474,16.822107574867516,1468.180965835762,1167.565034164238,2.4205685908684327,1.5500184910384323
