Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HNX,28/10/2020,"105,000,000"
ACM,CTCP Tập đoàn Khoáng sản Á Cường,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HNX,23/07/2015,"51,000,000"
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Khai khoáng,Các hoạt động hỗ trợ Khai khoáng,Các hoạt động hỗ trợ cho khai thác dầu và khí đốt,HNX,15/11/2007,"50,000,000"
TVD,CTCP Than Vàng Danh - Vinacomin,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,HNX,11/1/2011,"44,962,864"
NBC,CTCP Than Núi Béo - Vinacomin,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,HNX,27/12/2006,"36,999,124"
TC6,CTCP Than Cọc Sáu - Vinacomin,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,HNX,26/06/2008,"32,496,105"
KSQ,CTCP CNC Capital Việt Nam,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HNX,26/07/2013,"30,000,000"
TDN,CTCP Than Đèo Nai - Vinacomin,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,HNX,21/11/2008,"29,439,097"
HLC,CTCP Than Hà Lầm - Vinacomin,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,HNX,5/3/2009,"25,415,199"
THT,CTCP Than Hà Tu - Vinacomin,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,HNX,24/10/2008,"24,569,052"
PVB,CTCP Bọc ống Dầu khí Việt Nam,Khai khoáng,Các hoạt động hỗ trợ Khai khoáng,Các hoạt động hỗ trợ cho khai thác dầu và khí đốt,HNX,24/12/2013,"21,599,998"
MDC,CTCP Than Mông Dương - Vinacomin,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,HNX,23/07/2009,"21,418,346"
SPI,CTCP Spiral Galaxy,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HNX,26/09/2012,"16,815,000"
TMB,CTCP Kinh doanh Than Miền Bắc - Vinacomin,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,HNX,16/01/2017,"15,000,000"
HGM,CTCP Cơ khí và Khoáng sản Hà Giang,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HNX,21/12/2009,"12,600,000"
BKC,CTCP khoáng sản Bắc Kạn,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HNX,18/08/2009,"11,737,728"
HMR,CTCP Đá Hoàng Mai,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HNX,13/01/2022,"5,612,444"
HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HNX,18/01/2016,"3,800,000"
MIM,CTCP Khoáng sản và Cơ khí,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,HNX,16/08/2010,"3,409,860"
AMC,CTCP Khoáng sản Á Châu,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,HNX,15/02/2012,"2,850,000"
VCS,CTCP Vicostone,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,17/12/2007,"160,000,000"
BTS,CTCP Xi măng VICEM Bút Sơn,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HNX,5/12/2006,"123,559,858"
BCC,CTCP Xi măng Bỉm Sơn,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HNX,24/11/2006,"123,209,812"
DNP,CTCP Nhựa Đồng Nai,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,29/06/2009,"118,909,913"
NTP,CTCP Nhựa Thiếu niên Tiền Phong,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,11/12/2006,"117,796,183"
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HNX,1/3/2012,"112,856,400"
TNG,CTCP Đầu tư và Thương mại TNG,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc công nghiệp,HNX,22/11/2007,"92,698,779"
HTP,CTCP In Sách Giáo khoa Hòa Phát,Sản xuất,In ấn và các hoạt động hỗ trợ,In ấn,HNX,14/12/2006,"91,804,980"
PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,Sản xuất,Sản xuất xăng dầu và than đá,"Sản xuất nhựa đường, vật liệu lợp mái và chất bão hòa",HNX,27/12/2006,"80,798,839"
HOM,CTCP Xi măng VICEM Hoàng Mai,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HNX,9/7/2009,"74,769,131"
MBG,CTCP Tập đoàn MBG,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất thiết bị điện chiếu sáng,HNX,26/11/2015,"72,355,278"
VIT,CTCP Viglacera Tiên Sơn,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,3/11/2009,"50,000,000"
KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất sản phẩm kim loại tổng hợp khác,HNX,14/04/2015,"49,500,000"
TAR,CTCP Nông nghiệp Công nghệ cao Trung An,Sản xuất,Sản xuất thực phẩm,Xay sát các loại hạt và hạt có dầu,HNX,20/02/2019,"46,199,933"
VGS,CTCP Ống thép Việt Đức VG PIPE,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất sản phẩm thép từ nguyên liệu thu mua,HNX,4/12/2008,"42,111,589"
TPP,CTCP Tân Phú Việt Nam,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,26/09/2008,"30,000,000"
DVG,CTCP Tập đoàn Sơn Đại Việt,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất sơn và chất kết dính,HNX,14/01/2021,"28,000,000"
DHT,CTCP Dược phẩm Hà Tây,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HNX,3/12/2008,"26,408,828"
BCF,CTCP Thực phẩm Bích Chi,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,HNX,16/03/2020,"25,300,423"
VHL,CTCP Viglacera Hạ Long,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,12/2/2009,"25,000,000"
ITQ,CTCP Tập đoàn Thiên Quang,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất sản phẩm kim loại tổng hợp khác,HNX,1/10/2012,"23,843,305"
GKM,CTCP Khang Minh Group,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,17/07/2017,"23,813,900"
NET,CTCP Bột giặt NET,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất xà phòng, chất tẩy rửa",HNX,15/09/2010,"22,398,374"
SJ1,CTCP Nông nghiệp Hùng Hậu,Sản xuất,Sản xuất thực phẩm,Sơ chế và đóng gói thủy sản,HNX,8/6/2009,"22,156,060"
TDT,CTCP Đầu tư và Phát triển TDT,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc công nghiệp,HNX,18/07/2018,"21,336,732"
NSH,CTCP Nhôm Sông Hồng,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất và chế biến nhôm,HNX,31/07/2017,"20,693,437"
VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,25/11/2021,"20,000,000"
BNA,CTCP Đầu tư Sản xuất Bảo Ngọc,Sản xuất,Sản xuất thực phẩm,Sản xuất bánh và bánh mì các loại,HNX,12/10/2020,"19,999,989"
POT,CTCP Thiết bị Bưu điện,Sản xuất,"Sản xuất các sản phẩm điện tử, vi tính",Sản xuất thiết bị truyền thông,HNX,20/12/2006,"19,430,006"
INN,CTCP Bao bì và In Nông nghiệp,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HNX,22/01/2010,"18,000,000"
X20,CTCP X20,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc công nghiệp,HNX,5/2/2018,"17,250,000"
