Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
CGL,CTCP Thương mại Gia Lai,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn máy móc, thiết bị và vật tư",UPCoM,3/12/2020,"1,880,000"
CGV,CTCP Sành sứ Thủy tinh Việt Nam,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,UPCoM,21/06/2017,"9,499,956"
CH5,CTCP Xây dựng Số 5 Hà Nội,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,14/06/2017,"3,732,450"
CHC,CTCP Cẩm Hà,Sản xuất,Sản xuất các sản phẩm gỗ,Sản xuất các sản phẩm gỗ khác,UPCoM,16/02/2017,"4,487,731"
CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,12/1/2017,"28,400,000"
CI5,CTCP Đầu Tư Xây dựng Số 5,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,1/7/2011,"2,700,000"
CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Bất động sản,Bất động sản,Cho thuê bất động sản,UPCoM,10/5/2016,"1,082,000"
CIP,CTCP Xây lắp và Sản xuất Công nghiệp,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,27/09/2017,"4,545,000"
CKA,CTCP Cơ Khí An Giang,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất sản phẩm kim loại tổng hợp khác,UPCoM,17/10/2018,"3,286,404"
CKD,CTCP Cơ khí Đông Anh LICOGI,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất kiến trúc và kết cấu kim loại,UPCoM,21/05/2015,"31,000,000"
CLG,CTCP Đầu tư và Phát triển Nhà đất COTEC,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc","Xây dựng nhà ở, khu dân cư, cao ốc",UPCoM,5/5/2021,"21,150,000"
CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Bán buôn,Bán buôn hàng tiêu dùng,"Bán buôn thực phẩm, tạp hóa và các sản phẩm có liên quan",UPCoM,1/3/2017,"86,600,000"
CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,Bán buôn,Bán buôn hàng lâu bền,Bán buôn gỗ xẻ và vật liệu xây dựng khác,UPCoM,5/7/2019,"15,000,000"
CMF,CTCP Thực phẩm Cholimex,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,UPCoM,30/11/2016,"8,100,000"
CMI,CTCP CMISTONE Việt Nam,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác quặng kim loại,UPCoM,14/06/2019,"15,002,500"
CMK,CTCP Cơ khí Mạo Khê - Vinacomin,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn máy móc, thiết bị và vật tư",UPCoM,21/10/2015,"1,432,578"
CMN,CTCP Lương thực Thực phẩm Colusa - Miliket,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,UPCoM,10/7/2017,"4,800,000"
CMP,CTCP Cảng Chân Mây,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,15/02/2016,"32,405,415"
CMT,CTCP Công nghệ Mạng và Truyền thông,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,UPCoM,24/04/2019,"8,000,000"
CMW,CTCP Cấp nước Cà Mau,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,10/4/2017,"15,534,900"
CNA,Công ty TNHH MTV Đầu tư phát triển Chè Nghệ An,Sản xuất nông nghiệp,Trồng trọt,Trồng trọt các loại cây khác,UPCoM,9/12/2021,"793,917"
CNC,CTCP Công nghệ Cao Traphaco,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn các mặt hàng tiêu dùng khác,UPCoM,25/06/2014,"11,364,325"
CNN,CTCP Tư vấn Công nghệ Thiết bị và Kiểm Định Xây dựng - Coninco,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ tư vấn xây dựng,UPCoM,1/6/2016,"8,800,000"
CNT,CTCP Xây dựng và Kinh doanh Vật tư,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn các mặt hàng tiêu dùng khác,UPCoM,17/03/2015,"40,015,069"
CPA,CTCP Cà phê Phước An,Sản xuất nông nghiệp,Trồng trọt,Trồng trọt các loại cây khác,UPCoM,30/12/2019,"23,627,990"
CPH,CTCP Phục vụ Mai táng Hải Phòng,Dịch vụ khác (ngoại trừ hành chính công),Dịch vụ chăm sóc thân thể và giặt ủi,Dịch vụ chăm sóc người chết,UPCoM,8/2/2017,"4,400,000"
CPI,CTCP Đầu tư Cảng Cái Lân,Vận tải và kho bãi,Hỗ trợ vận tải,Sắp xếp vận tải hàng hóa,UPCoM,28/07/2017,"36,505,000"
CQN,CTCP Cảng Quảng Ninh,Vận tải và kho bãi,Hỗ trợ vận tải,Hỗ trợ vận tải,UPCoM,18/08/2020,"75,049,936"
CQT,CTCP Xi măng Quán Triều VVMI,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,1/11/2016,"25,000,000"
CSI,CTCP Chứng khoán Kiến thiết Việt Nam,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,UPCoM,15/03/2019,"16,800,000"
CST,CTCP Than Cao Sơn - TKV,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác than,UPCoM,26/04/2021,"42,846,773"
CT3,CTCP Đầu tư và Xây dựng Công trình 3,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,"Xây dựng cầu đường, đường cao tốc",UPCoM,20/11/2009,"8,000,000"
CT5,CTCP 319.5,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc","Xây dựng nhà ở, khu dân cư, cao ốc",UPCoM,16/01/2020,"4,400,000"
CT6,CTCP Công trình 6,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,"Xây dựng cầu đường, đường cao tốc",UPCoM,15/05/2020,"6,108,078"
CTA,CTCP Vinavico,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),Khai thác đá và khoáng sản phi kim,UPCoM,1/10/2010,"8,454,381"
CTN,CTCP Xây dựng Công trình ngầm,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,26/05/2016,"6,958,345"
CTW,CTCP Cấp thoát nước Cần Thơ,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,30/09/2016,"28,000,000"
CYC,CTCP Gạch men Chang Yih,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,UPCoM,22/05/2017,"1,990,530"
DAC,CTCP 382 Đông Anh,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,UPCoM,8/4/2016,"1,004,974"
DAN,CTCP Dược Danapha,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,22/12/2021,"21,141,000"
DAR,CTCP Xe lửa Dĩ An,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ kiến trúc,UPCoM,11/5/2017,"6,500,000"
DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng,Bán buôn,Bán buôn hàng lâu bền,Bán buôn xe cơ giới và phụ tùng xe cơ giới,UPCoM,25/09/2014,"4,200,000"
DBH,CTCP Đường bộ Hải Phòng,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,"Xây dựng cầu đường, đường cao tốc",UPCoM,8/6/2016,"2,200,000"
DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,17/12/2009,"1,941,588"
DBW,CTCP Cấp nước Điện Biên,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,9/1/2017,"39,320,100"
DC1,CTCP Đầu tư Phát triển Xây dựng Số 1,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc","Xây dựng nhà ở, khu dân cư, cao ốc",UPCoM,19/07/2016,"3,149,965"
DCF,CTCP Xây dựng và Thiết kế Số 1,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,12/1/2017,"15,000,000"
DCG,CTCP Tổng Công ty May Đáp Cầu,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc công nghiệp,UPCoM,14/12/2018,"6,825,000"
DCH,CTCP Địa chính Hà Nội,"Dịch vụ chuyên môn, khoa học và công nghệ","Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",Dịch vụ khảo sát địa lý và bản đồ,UPCoM,23/04/2018,"2,880,000"
DCR,CTCP Gạch men Cosevco,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,UPCoM,8/10/2018,"6,500,000"
DCS,CTCP Tập đoàn Đại Châu,Sản xuất,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,Sản xuất tủ bếp và nội thất hộ gia đình,UPCoM,31/05/2019,"60,310,988"
DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,7/4/2016,"27,223,647"
DDH,CTCP Đảm bảo Giao thông Đường thủy Hải Phòng,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,30/06/2016,"3,600,000"
DDM,CTCP Hàng Hải Đông Đô,Vận tải và kho bãi,Vận tải đường thủy,"Vận tải đường biển, ven biển, hồ lớn",UPCoM,15/12/2014,"12,244,495"
DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn các mặt hàng tiêu dùng khác,UPCoM,24/06/2009,"12,134,474"
DDV,CTCP DAP - VINACHEM,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",UPCoM,10/6/2015,"146,109,900"
DFC,CTCP Xích líp Đông Anh,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất sản phẩm kim loại tổng hợp khác,UPCoM,12/1/2017,"6,000,000"
DFF,CTCP Tập đoàn Đua Fat,Xây dựng và Bất động sản,Nhà thầu chuyên môn,"Nhà thầu về nền móng, cấu trúc và bề mặt ngoài",UPCoM,5/7/2021,"40,000,000"
DGT,CTCP Công trình Giao thông Đồng Nai,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,"Xây dựng cầu đường, đường cao tốc",UPCoM,9/3/2010,"20,000,000"
DHB,CTCP Phân đạm và Hóa chất Hà Bắc,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",UPCoM,26/07/2017,"272,200,000"
DHD,CTCP Dược Vật tư Y tế Hải Dương,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,5/5/2017,"11,999,888"
DHN,CTCP Dược phẩm Hà Nội,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,19/04/2018,"6,290,900"
DIC,CTCP Đầu tư và Thương mại DIC,Bán buôn,Bán buôn hàng lâu bền,Bán buôn gỗ xẻ và vật liệu xây dựng khác,UPCoM,18/08/2020,"26,585,840"
DID,CTCP DIC - Đồng Tiến,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,10/12/2009,"13,900,000"
DKC,CTCP Chợ Lạng Sơn,Xây dựng và Bất động sản,Phát triển bất động sản,Phát triển bất động sản,UPCoM,14/07/2020,"2,288,540"
DKH,Trung tâm Đăng kiểm phương tiện Giao thông Thủy bộ,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ hành chính và hỗ trợ,Các dịch vụ hỗ trợ khác,UPCoM,23/03/2020,"212,036"
DLD,CTCP Du lịch Đắk Lắk,Dịch vụ lưu trú và ăn uống,Dịch vụ ăn uống,Nhà hàng đầy đủ dịch vụ,UPCoM,8/4/2011,"9,307,415"
DLR,CTCP Địa ốc Đà Lạt,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc","Xây dựng nhà ở, khu dân cư, cao ốc",UPCoM,31/05/2019,"4,500,000"
DLT,CTCP Du lịch và Thương mại - Vinacomin,Khai khoáng,Các hoạt động hỗ trợ Khai khoáng,Các hoạt động hỗ trợ cho khai thác than,UPCoM,16/11/2015,"2,500,056"
DM7,CTCP Dệt May 7,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc công nghiệp,UPCoM,15/10/2018,"15,411,100"
DMN,CTCP Domenal,Sản xuất,Sản xuất thực phẩm,Sản xuất thức ăn cho động vật,UPCoM,22/11/2021,"12,500,000"
DNA,CTCP Điện Nước An Giang,Tiện ích,"Phát, truyền tải và phân phối điện năng","Truyền tải, kiểm soát và phân phối điện",UPCoM,19/10/2017,"56,329,567"
DNB,CTCP Sách và Thiết bị trường học tỉnh Đắk Nông,Bán lẻ,"Cửa hàng đồ dùng thể thao, đồ cổ, sách và âm nhạc","Cửa hàng sách, ấn bản và âm nhạc",UPCoM,25/06/2019,"1,447,554"
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất sản phẩm từ khoáng chất phi kim khác,UPCoM,9/11/2016,"8,834,000"
DNE,CTCP Môi trường Đô thị Đà Nẵng,Tiện ích,"Nước, chất thải và các hệ thống khác",Công trình xử lý nước thải,UPCoM,5/4/2017,"5,773,600"
DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,UPCoM,19/06/2017,"422,400,000"
DNL,CTCP Logistics Cảng Đà Nẵng,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,18/08/2011,"4,310,000"
DNN,CTCP Cấp nước Đà Nẵng,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,17/07/2017,"57,964,061"
DNT,CTCP Du lịch Đồng Nai,Dịch vụ lưu trú và ăn uống,Dịch vụ ăn uống,Nhà hàng đầy đủ dịch vụ,UPCoM,24/02/2020,"7,459,675"
DNW,CTCP Cấp nước Đồng Nai,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,16/03/2016,"120,000,000"
DOC,CTCP Vật tư Nông Nghiệp Đồng Nai,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",UPCoM,19/12/2016,"10,000,000"
DOP,CTCP Vận tải Xăng dầu Đồng Tháp,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,30/10/2015,"4,719,950"
DP1,CTCP Dược phẩm Trung ương CPC1,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn dược phẩm và tạp hóa dược,UPCoM,12/6/2018,"20,979,000"
DP2,CTCP Dược phẩm Trung ương 2,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,19/05/2017,"20,000,000"
DPD,CTCP Cao su Đồng Phú - Đắk Nông,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất nhựa, cao su tổng hợp, sợi tổng hợp nhân tạo",UPCoM,20/01/2021,"12,000,000"
DPH,CTCP Dược phẩm Hải Phòng,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,20/01/2017,"3,000,000"
DPP,CTCP Dược Đồng Nai,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn các mặt hàng tiêu dùng khác,UPCoM,19/05/2010,"3,000,010"
DPS,CTCP Đầu tư Phát triển Sóc Sơn,Bán buôn,Bán buôn hàng lâu bền,Bán buôn kim loại và khoáng sản (trừ dầu khí),UPCoM,2/7/2021,"31,085,257"
DRG,CTCP Cao su Đắk Lắk,Sản xuất nông nghiệp,Trồng trọt,Trồng trọt các loại cây khác,UPCoM,11/12/2019,"1,658,400"
DRI,CTCP Đầu tư Cao su Đắk Lắk,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất nhựa, cao su tổng hợp, sợi tổng hợp nhân tạo",UPCoM,23/05/2017,"73,200,000"
DSC,CTCP Chứng khoán DSC,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,UPCoM,5/1/2018,"6,000,000"
DSG,CTCP Kính Đáp Cầu,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất thủy tinh và các sản phẩm thủy tinh,UPCoM,11/8/2017,"30,000,000"
DSP,CTCP Dịch vụ Du lịch Phú Thọ,"Nghệ thuật, vui chơi và giải trí","Công nghiệp giải trí, đánh bạc và tiêu khiển",Khu vui chơi giải trí,UPCoM,17/10/2018,"118,684,000"
DSV,CTCP Đường sắt Vĩnh Phú,Vận tải và kho bãi,Hỗ trợ vận tải,Các hoạt động hỗ trợ vận tải khác,UPCoM,2/12/2016,"1,229,579"
DT4,CTCP Quản lý Bảo trì Đường thủy Nội địa Số 4,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,UPCoM,19/07/2016,"1,160,000"
DTB,CTCP Công trình Đô thị Bảo Lộc,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ quản lý và tái chế chất thải,Thu gom chất thải,UPCoM,22/07/2019,"1,558,248"
DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,Tiện ích,"Phát, truyền tải và phân phối điện năng","Truyền tải, kiểm soát và phân phối điện",UPCoM,31/12/2020,"50,725,887"
DTG,CTCP Dược phẩm Tipharco,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,28/02/2017,"6,315,928"
DTI,CTCP Đầu tư Đức Trung,Xây dựng và Bất động sản,Bất động sản,Cho thuê bất động sản,UPCoM,5/1/2018,"11,521,754"
DTP,CTCP Dược phẩm CPC1 Hà Nội,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,18/06/2020,"12,171,782"
DTV,CTCP Phát triển Điện Trà Vinh,Tiện ích,"Phát, truyền tải và phân phối điện năng","Truyền tải, kiểm soát và phân phối điện",UPCoM,9/9/2010,"5,280,000"
DUS,CTCP Dịch vụ Đô thị Đà Lạt,"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",Dịch vụ hành chính và hỗ trợ,Các dịch vụ hỗ trợ khác,UPCoM,8/1/2020,"5,614,300"
DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng,Bán lẻ,Cửa hàng đồ nội thất và đồ dùng gia đình,Cửa hàng đồ nội thất,UPCoM,13/12/2013,"10,793,670"
DVN,Tổng Công ty Dược Việt Nam - CTCP,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,UPCoM,19/05/2017,"237,000,000"
DVW,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,6/6/2018,"2,345,000"
DWC,CTCP Cấp nước Đắk Lắk,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,22/12/2021,"20,172,800"
DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,UPCoM,24/01/2019,"25,918,130"
DX2,CTCP Đầu tư và Xây dựng 319.2,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,"Xây dựng cầu đường, đường cao tốc",UPCoM,4/7/2018,"4,950,000"
DXL,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Phòng trọ và nhà trọ,UPCoM,28/06/2010,"3,957,900"
E12,CTCP Xây dựng Điện VNECO12,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng hệ thống tiện ích,UPCoM,31/12/2019,"1,200,000"
E29,CTCP Đầu tư Xây dựng và Kỹ thuật 29,Xây dựng và Bất động sản,"Xây dựng nhà cửa, cao ốc",Xây dựng công trình khác,UPCoM,5/11/2019,"5,000,000"
EAD,CTCP Thủy điện Điện lực Đắk Lắk,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,UPCoM,30/09/2016,"2,877,800"
EFI,CTCP Đầu tư Tài chính Giáo dục,"Dịch vụ chuyên môn, khoa học và công nghệ","Dịch vụ tư vấn quản lý, khoa học và kỹ thuật",Dịch vụ tư vấn quản lý,UPCoM,24/04/2017,"10,880,000"
EIC,CTCP EVN Quốc tế,Tiện ích,"Phát, truyền tải và phân phối điện năng","Truyền tải, kiểm soát và phân phối điện",UPCoM,28/02/2017,"36,677,145"
EIN,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,Dịch vụ lưu trú và ăn uống,Khách sạn và phòng ở,Chỗ ở cho khách du lịch,UPCoM,16/03/2017,"45,407,161"
EME,CTCP Điện cơ,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,17/07/2017,"3,780,298"
EMG,CTCP Thiết bị Phụ Tùng Cơ Điện,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất thiết bị, máy móc công nghiệp",UPCoM,16/02/2017,"3,000,000"
EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,Vận tải và kho bãi,Đưa thư,Dịch vụ đưa thư và chuyển phát nhanh,UPCoM,5/1/2018,"16,500,225"
EPC,CTCP Cà phê Ea Pốk,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,UPCoM,3/10/2018,"9,388,500"
EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,Công nghệ và thông tin,Công nghiệp xuất bản - Ngoại trừ internet,"Đơn vị xuất bản báo, ấn phẩm, sách và danh mục",UPCoM,21/12/2017,"2,500,000"
FBA,CTCP Tập đoàn Quốc tế FBA,Bán buôn,Bán buôn hàng lâu bền,"Bán buôn các mặt hàng điện, điện tử",UPCoM,18/02/2011,"3,414,900"
FBC,CTCP Cơ khí Phổ Yên,Sản xuất,Sản xuất phương tiện vận tải,Sản xuất phụ tùng xe cơ giới,UPCoM,20/10/2017,"3,700,000"
FCC,CTCP Liên hợp Thực phẩm,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,UPCoM,9/5/2016,"5,997,040"
FCS,CTCP Lương thực Thành phố Hồ Chí Minh,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,UPCoM,3/3/2017,"29,450,000"
FDG,CTCP Docimexco,Bán buôn,Bán buôn hàng tiêu dùng,Bán buôn các mặt hàng tiêu dùng khác,UPCoM,19/08/2016,"13,200,000"
FGL,CTCP Cà phê Gia Lai,Sản xuất nông nghiệp,Trồng trọt,Trồng trọt cây có hạt và các loại trái cây,UPCoM,14/09/2018,"14,676,300"
FHN,CTCP Xuất nhập khẩu Lương thực Thực phẩm Hà Nội,Sản xuất,Sản xuất thực phẩm,Xay sát các loại hạt và hạt có dầu,UPCoM,29/12/2017,"3,000,000"
FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh,Bán lẻ,"Cửa hàng đồ dùng thể thao, đồ cổ, sách và âm nhạc","Cửa hàng sách, ấn bản và âm nhạc",UPCoM,1/11/2018,"12,751,462"
FIC,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,UPCoM,2/8/2018,"127,000,000"
FOC,CTCP Dịch vụ Trực tuyến FPT,Công nghệ và thông tin,Viễn thông,Viễn thông có dây,UPCoM,10/12/2018,"18,471,275"
FOX,CTCP Viễn thông FPT,Công nghệ và thông tin,Viễn thông,Các loại hình viễn thông khác,UPCoM,13/01/2017,"328,369,553"
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam,Sản xuất,Sản xuất các sản phẩm gỗ,Sản xuất các sản phẩm gỗ khác,UPCoM,26/07/2018,"3,000,000"
FRM,CTCP Lâm Nghiệp Sài Gòn,Sản xuất nông nghiệp,Trồng rừng và khai thác gỗ,Trồng rừng lấy gỗ,UPCoM,24/11/2017,"11,700,000"
FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam,Sản xuất,Sản xuất phương tiện vận tải,Sản xuất các thiết bị vận tải khác,UPCoM,6/2/2017,"5,624,966"
FT1,CTCP Phụ tùng Máy số 1,Sản xuất,"Sản xuất thiết bị, máy móc",Sản xuất máy móc với mục đích chung khác,UPCoM,27/09/2017,"7,079,853"
FTI,CTCP Công nghiệp - Thương mại Hữu Nghị,Xây dựng và Bất động sản,Bất động sản,Các hoạt động liên quan đến bất động sản,UPCoM,27/10/2017,"3,943,710"
G20,CTCP Đầu tư Dệt may Vĩnh Phúc,Sản xuất,"Sản xuất sợi, vải","Sản xuất sợi, vải thành phẩm",UPCoM,1/9/2015,"14,400,000"
G36,Tổng Công ty 36 - CTCP,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,Xây dựng công nghiệp nặng và dân dụng khác,UPCoM,26/12/2016,"101,756,575"
GCB,CTCP Petec Bình Định,Bán lẻ,Trạm xăng,Các trạm xăng khác,UPCoM,28/12/2016,"4,039,147"
GE2,Tổng Công ty Phát điện 2 - CTCP,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,UPCoM,7/5/2021,"262,500"
GER,CTCP Thể thao Ngôi sao Geru,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm cao su,UPCoM,1/6/2010,"2,200,000"
GGG,CTCP Ô tô Giải Phóng,Sản xuất,Sản xuất phương tiện vận tải,Sản xuất các thiết bị vận tải khác,UPCoM,12/10/2009,"9,635,456"
GH3,CTCP Công trình Giao thông Hà Nội,Xây dựng và Bất động sản,Xây dựng công nghiệp nặng và dân dụng,"Xây dựng cầu đường, đường cao tốc",UPCoM,4/8/2021,"11,500,000"
